x,c03,observed_z03,m0_pole,m1_pole_lzeros,m2_pole_lzeros_cross,split
100,-13.200700987683796,-0.013200700987683795,-0.015803313777877036,-0.01608757048582333,-0.016076793693611428,discovery
104,-13.764135028201792,-0.012977735409860747,-0.015496424102466294,-0.015714529206053117,-0.01570504226895376,discovery
108,-14.321251273729246,-0.012759843021635572,-0.015206745772909048,-0.015352950476695963,-0.015359523343195023,discovery
112,-14.867928294737347,-0.012543635452364685,-0.014932727909636885,-0.01500136437644608,-0.015013885930916024,discovery
117,-15.520133016055603,-0.012263562435110684,-0.014610168755995431,-0.01457777088570389,-0.014586049707033213,discovery
121,-16.02307387881079,-0.012038372561090001,-0.014366648888979124,-0.014258812090517032,-0.014263053894558767,discovery
126,-16.660276597794258,-0.011779487338970883,-0.01407871088869048,-0.013893064126715288,-0.01388801293199478,discovery
131,-17.300805869454393,-0.011538766619578167,-0.01380741935641844,-0.013560611699849297,-0.013540642791042685,discovery
136,-17.979935597516203,-0.011336520279145066,-0.01355122976734514,-0.01325538402312697,-0.013239880018347057,discovery
142,-18.845640614894222,-0.01113726076702689,-0.013261846321707634,-0.0129293603864641,-0.012940532880506629,discovery
147,-19.59761939314476,-0.010995812276101028,-0.013034353519636327,-0.012698155397122716,-0.012724150230580617,discovery
153,-20.50339809945654,-0.010833996674118636,-0.012776221949209,-0.012471943427324992,-0.012487366567372498,discovery
159,-21.45120275504732,-0.010699314692107985,-0.01253284305114678,-0.012298627835377537,-0.012283934069526282,discovery
165,-22.50840960634047,-0.010619862492903719,-0.012302863090330522,-0.012164871870336255,-0.012141336751684313,discovery
172,-23.85759831470336,-0.010576307077214594,-0.01204991378821901,-0.012026162222791221,-0.012021156104076341,discovery
179,-25.19073644339887,-0.010518681804503579,-0.011811951299355469,-0.01187927823881807,-0.01189096905634276,discovery
186,-26.46147502187666,-0.010431448847225305,-0.011587551866514357,-0.01172367851840985,-0.011734746086719254,discovery
193,-27.69068004558224,-0.010327558365674961,-0.011375474171339748,-0.011568344365373124,-0.011567706541249757,discovery
201,-29.116112811154714,-0.010217374389150422,-0.01114679808926335,-0.011395498630797833,-0.011391760382283615,discovery
209,-30.571925212350678,-0.010118202324217646,-0.010931380717171564,-0.011231097154366545,-0.011234302077945742,discovery
217,-32.01105761859145,-0.010014065376167301,-0.010727988425175935,-0.011075195345456144,-0.011072452398482851,discovery
225,-33.42639807790399,-0.00990411794900859,-0.010535542518584691,-0.010914786786591505,-0.010908570785769393,discovery
234,-34.957794849162,-0.009766079229018758,-0.010330949401644194,-0.01070765811480887,-0.010710522638923772,discovery
244,-36.39787100075734,-0.009549733276920089,-0.010117034943599616,-0.010431680543276147,-0.010430963400349911,discovery
253,-37.46280862484908,-0.009309354145295575,-0.00993545824700002,-0.010142870324771645,-0.010138480103438843,discovery
263,-38.47010817194906,-0.009019652062495397,-0.009744740735431343,-0.00978926797859254,-0.009794605050162466,discovery
274,-39.35817660799158,-0.008677789796379079,-0.009547131001044703,-0.009396308559840878,-0.009406963316956844,discovery
284,-40.06406747533574,-0.00837100359724813,-0.00937754146513334,-0.009072458296825242,-0.00906788372523728,discovery
296,-41.13631925674498,-0.008077702669271127,-0.009185489555029359,-0.00874812372770012,-0.008740108958812873,discovery
307,-42.34893913523749,-0.007872904298345848,-0.009019427572388557,-0.008512664459359692,-0.008509443629446434,discovery
319,-43.949223822106035,-0.007713743348062632,-0.008848157032518823,-0.008322811653493446,-0.008324224521877484,discovery
332,-46.02677695170374,-0.00760857697562394,-0.008673195211067753,-0.008194101431491305,-0.008196227052094905,discovery
345,-48.49546658418369,-0.007567849721968412,-0.008508218130555453,-0.008130460129470145,-0.008135383176436806,discovery
359,-51.50863932921399,-0.00757248470278057,-0.00834067000578578,-0.008110529625695603,-0.00811406174376244,discovery
373,-54.653349831279286,-0.007586710955932826,-0.008182645703785735,-0.008119136926733992,-0.008112298118807799,discovery
387,-58.13433407035565,-0.00763600588541539,-0.008033275858812673,-0.008135627894037505,-0.008134149416305397,discovery
403,-62.03921727061254,-0.007668470312643116,-0.007872191316248129,-0.008141294925735659,-0.008143920140846986,discovery
419,-65.76763653178392,-0.007668160609700675,-0.007720423992617554,-0.008117638365284115,-0.008115207279258088,discovery
435,-69.22272463845303,-0.007629828986888812,-0.007577108998350383,-0.00805616749779677,-0.008053505421238977,discovery
452,-72.5424684567194,-0.007548917469169779,-0.007433253530231477,-0.007943651964275317,-0.007943822316989544,discovery
470,-75.45446927861724,-0.007405223690934166,-0.007289525075182213,-0.007771453956200655,-0.007775348703028824,discovery
489,-77.85895920722157,-0.007200212355256508,-0.0071465055221647256,-0.007539901498007695,-0.007544209729145249,discovery
508,-79.6613758929253,-0.006957484296026688,-0.007011586675572274,-0.007276212011593928,-0.007276236849677733,discovery
528,-81.13706153640626,-0.00668757077812065,-0.006877509546963046,-0.006991955939053048,-0.006989141296903878,discovery
549,-82.60428665563899,-0.006421612102289356,-0.006744689962399743,-0.006711919406183569,-0.006705300510085709,discovery
571,-84.32753046976546,-0.006180380588859297,-0.006613480982915897,-0.00644889255808734,-0.0064474522594448625,discovery
593,-86.1496591244348,-0.005965838923700872,-0.006489643148063987,-0.006218373220580026,-0.006221959507448513,discovery
616,-88.32134403990284,-0.005776896691634729,-0.006367336574956002,-0.0060188021657287235,-0.006023001951918639,discovery
641,-91.19945216374708,-0.005619597171608597,-0.006241933657281951,-0.00585360934745428,-0.0058554757635828885,discovery
666,-94.62606376226273,-0.005505533771764328,-0.0061236597033529055,-0.005730345390492463,-0.005731808006058562,discovery
692,-98.59008194649388,-0.0054159430116145855,-0.006007518487363737,-0.005633739798482912,-0.005632007553555134,discovery
720,-103.48853358737165,-0.005356652685026231,-0.005889547312848678,-0.005568476028680335,-0.005563561065219273,discovery
748,-109.29892382621506,-0.005342733220647252,-0.005778263787794912,-0.005547637928695931,-0.005542449291749513,discovery
778,-116.48486663720786,-0.005367846786064658,-0.005665762488046606,-0.005558838503287968,-0.005558425821092101,discovery
808,-124.12277334216097,-0.005404237535189293,-0.005559586386358339,-0.005577177991051474,-0.005585744408198031,discovery
840,-131.91647923019025,-0.005418513037289005,-0.005452661280796725,-0.005583696421536613,-0.0055907374463967765,discovery
873,-139.39436742037873,-0.005404106009985041,-0.005348611346923578,-0.005568133388120897,-0.005566964699559097,discovery
908,-146.76728671584146,-0.0053641448003073165,-0.005244513877453005,-0.0055231146892876825,-0.005517168057007753,discovery
944,-153.53523456280988,-0.005293587125243,-0.005143540526575153,-0.005444055526540158,-0.005436725935797778,discovery
981,-159.74520537312787,-0.00519905391248498,-0.005045609776682734,-0.005334630244043678,-0.00533356970611831,discovery
1020,-165.6589318889309,-0.0050852768227484715,-0.004948209483673612,-0.005207364916964806,-0.005213540436960735,discovery
1060,-171.48066382065133,-0.0049688553970033255,-0.0048539492417722825,-0.005083844826241498,-0.005089682331016595,discovery
1102,-177.48555690343767,-0.004851662988765408,-0.004760552576266849,-0.004966464864622047,-0.004966600275669805,discovery
1145,-183.45372744080782,-0.004734981758550749,-0.004670306895108838,-0.004848153713472282,-0.004844011939074234,discovery
1190,-189.30204358762194,-0.004611421926971449,-0.004581151797870189,-0.0047134818254850296,-0.004711896338841158,discovery
1237,-194.1562128650795,-0.00446269023725486,-0.004493278249002821,-0.004557104251184781,-0.00455774949830565,discovery
1286,-197.95061484622124,-0.004292352716600998,-0.0044068440194392,-0.004381760092191678,-0.004380635960003136,discovery
1337,-200.94654300102547,-0.004110393766269406,-0.004321977081261855,-0.004195364872492148,-0.004193616147272869,discovery
1389,-203.77767517247474,-0.003936436359798516,-0.004240304456464897,-0.004012573826846458,-0.004014211693991765,discovery
1444,-206.78593785463244,-0.0037685146860809236,-0.004158766783651852,-0.003839083369372245,-0.0038430728306084218,discovery
1501,-210.63569328374035,-0.003622104102079984,-0.004079038618772025,-0.0036903628480270474,-0.0036926744297658886,discovery
1561,-215.93885292203345,-0.0035012767142892543,-0.00399987769161213,-0.0035739430953322525,-0.0035702668670369296,discovery
1622,-224.23494194181058,-0.003432630157588316,-0.003923943435054419,-0.003503112890461035,-0.00349983446719606,discovery
1686,-236.99747574421508,-0.0034233977818775964,-0.0038487471298945817,-0.0034883998849872667,-0.00348814935690198,discovery
1753,-255.11606781061346,-0.0034758813094280063,-0.003774480666135729,-0.0035394398186143565,-0.0035401613970658767,discovery
1822,-278.3664080328631,-0.0035792684023053596,-0.0037023202026105896,-0.0036397889037137173,-0.0036409888173789032,discovery
1894,-304.5725423996439,-0.003695053974076353,-0.003631266940990227,-0.0037511997374132904,-0.0037535087997241194,discovery
1968,-329.90885931828524,-0.003778821146532871,-0.003562342040158297,-0.0038342472224727133,-0.003834425416060806,discovery
2046,-353.6594361123314,-0.0038214378961813327,-0.0034937783436373177,-0.00387372684103405,-0.003872638641699874,validation
2127,-374.7714306445823,-0.0038204563469635155,-0.0034266079507365137,-0.0038693739990503413,-0.003868235597872649,validation
2211,-393.1254359778634,-0.0037813600411138893,-0.0033608860796306393,-0.0038280034160239566,-0.0038268716268256018,validation
2298,-408.6968960175709,-0.0037100204440903665,-0.0032966523513918264,-0.0037522043662959665,-0.0037518613126907635,validation
2389,-420.1870713374452,-0.003598474760521642,-0.0032332559712913377,-0.003635385260342764,-0.0036372469915112765,validation
2483,-425.37360715284376,-0.0034379967413849946,-0.0031714641272625197,-0.003473731033885997,-0.003474383657350221,validation
2581,-425.06131776159214,-0.003241675789285106,-0.0031106715767420636,-0.0032754132352471386,-0.003274505699704994,validation
2683,-421.36997448523084,-0.0030320235968753027,-0.0030509692243087926,-0.0030625163811050815,-0.0030625088368574182,validation
2789,-415.8281592709527,-0.0028231966133114993,-0.0029924293525455652,-0.002850997314497303,-0.002852744818913989,validation
2899,-408.8485830526163,-0.0026193297397241696,-0.002935107793001486,-0.0026459275231118726,-0.002645696060973151,validation
3013,-401.92905522542424,-0.002430248617366944,-0.0028790459567439035,-0.002458399818169004,-0.002455985522478109,validation
3132,-400.63545347610943,-0.0022856869496177155,-0.0028238217988727997,-0.0023118940878876556,-0.0023104789276340667,validation
3255,-409.91277311995464,-0.0022073182907113346,-0.002769954700600822,-0.0022310953061071837,-0.002231750640169126,validation
3384,-433.4487259661073,-0.0022018726611763625,-0.0027166455986327824,-0.002223043126859723,-0.0022255805536847157,validation
3517,-471.27755065941983,-0.0022595304591534115,-0.0026647837972093953,-0.002281948934216652,-0.00228371011610102,validation
3656,-523.2501791679538,-0.002367010067651039,-0.0026136357966894076,-0.002392594010110212,-0.0023911681829227784,validation
3800,-586.5387751701785,-0.0025039250962211363,-0.002563636019622573,-0.002526764249482809,-0.0025259159265662253,validation
3950,-652.3699457566845,-0.0026278362649319303,-0.0025144882780209505,-0.002650595656681634,-0.002649916704043248,validation
4106,-714.5088281368176,-0.0027156836747551987,-0.002466259042939056,-0.0027376783618654325,-0.0027363881268406545,validation
4268,-769.5609635131932,-0.002759983041507775,-0.002419000498252217,-0.00277851304962654,-0.002778267224791605,validation
4437,-815.0972917191866,-0.002757879629720377,-0.002372484855483438,-0.0027737777229537718,-0.0027750844450710604,validation
4612,-850.1335517171315,-0.0027142710126606753,-0.002327038206857812,-0.0027283303905464113,-0.0027312551544924936,validation
4794,-875.6812068903441,-0.0026381469613287563,-0.0022824388362767014,-0.002651477296775404,-0.0026516826578026394,validation
4983,-891.9561869023028,-0.0025357544219390894,-0.0022387351577627967,-0.0025515923283608802,-0.0025499627895110262,validation
5179,-899.9996907380446,-0.0024147573335317595,-0.002195963957246596,-0.002429999298625856,-0.0024280293819013807,validation
5384,-899.3919850299403,-0.0022766246623591355,-0.002153751721473391,-0.002288430592340072,-0.0022874087651049463,validation
5596,-892.112307506608,-0.0021310957951179684,-0.0021125612542436134,-0.0021423592687689545,-0.00214277245253918,validation
5817,-885.4648714973823,-0.0019958262973798838,-0.0020720423675713775,-0.002005006546705873,-0.0020063414795058613,validation
6047,-881.0449558234573,-0.0018736484847520689,-0.0020322548977934323,-0.0018814226127300258,-0.0018836184377004953,validation
6285,-881.282803368209,-0.0017687130196271448,-0.0019934049032711973,-0.0017771289664306835,-0.0017779351052145806,validation
6533,-891.998693825276,-0.0016892550703393955,-0.001955202906206818,-0.001700366253126348,-0.00169905574489089,validation
6791,-916.7726244322803,-0.0016381778169797954,-0.0019177027805882402,-0.001649500239011569,-0.0016467110215304575,validation
7059,-949.1785232237721,-0.001600416905125873,-0.0018809470596172684,-0.0016099578875069323,-0.001608705934983585,validation
7337,-984.8466104101881,-0.0015670787297986416,-0.0018449682791206476,-0.0015737551024948338,-0.001575246606706792,validation
7627,-1025.9320957225837,-0.0015402385788690664,-0.0018095529263136162,-0.0015456443965502296,-0.0015478070910147255,validation
7928,-1078.0043232590606,-0.001527126594518794,-0.0017748691569362712,-0.0015333682590204438,-0.0015340784151874705,validation
8241,-1150.4281775868367,-0.001537763821555027,-0.0017408373906129837,-0.0015458047556061788,-0.0015452508196716012,validation
8566,-1257.3473985109122,-0.0015859452205753332,-0.001707493771499893,-0.0015934410511745912,-0.0015927323551752088,validation
8904,-1400.5446479571146,-0.0016669371719283906,-0.0016747715992714934,-0.0016749118615645786,-0.0016738445159255927,validation
9255,-1570.4176083529949,-0.001763804805572989,-0.001642706409407922,-0.0017707083651490932,-0.0017704471258302304,validation
9620,-1745.9354156582604,-0.0018503997731157574,-0.0016112414550998907,-0.0018568282685804036,-0.0018569195930285658,validation
10000,-1908.7429959407316,-0.0019087429959407315,-0.0015803313777877038,-0.001914247392983878,-0.0019148294013077694,validation
